,SmartMapping Rank,Feature,Correlated Group
0,1,HETENURE,None
1,2,PRMJOCGR,6
2,3,PEEDUCA,None
3,4,PRDTOCC1,6
4,5,PXDIPGED,None
5,6,PRMJOCC1,6
6,7,HUFAMINC,None
7,8,PEIO1OCD,6
8,9,PXGRPROF,None
9,10,PEFNTVTY,None
10,11,PEIO1ICD,5
11,12,PEMNTVTY,None
12,13,PRDTIND1,5
13,14,PRCITSHP,None
14,15,PRIMIND1,5
15,16,PEAGE,None
16,17,PRMJIND1,5
17,18,PRDTCOW1,None
18,19,PRINUSYR,None
19,20,PXCYC,None
20,21,PENATVTY,None
21,22,PTDTRACE,None
22,23,PRCOW1,4
23,24,PRCOWPG,None
24,25,QSTNUM,None
25,26,PEHRACTT,2
26,27,PXGR6COR,None
27,28,PWVETWGT,1
28,29,GTCBSA,None
29,30,HWHHWGT,1
30,31,PWCMPWGT,1
31,32,GESTCEN,None
32,33,OCCURNUM,None
33,34,PRCITFLG,None
34,35,PWSSWGT,1
35,36,PXLNMOM,None
36,37,PXMS123,None
37,38,PXLNDAD,None
38,39,GESTFIPS,None
39,40,PEIO1COW,4
40,41,PWLGWGT,None
41,42,PEHRACT1,2
42,43,PUSLFPRX,None
43,44,PEHRUSLT,None
44,45,PWORWGT,None
45,46,PRFAMNUM,None
46,47,GTCO,None
47,48,GTCSA,None
48,49,PRHRUSL,3
49,50,PEHSPNON,None
50,51,HRNUMHOU,None
51,52,PERRP,None
52,53,PXDADTYP,None
53,54,PXHRACT2,None
54,55,PREMPHRS,2
55,56,PWFMWGT,1
56,57,HEHOUSUT,None
57,58,PRCHLD,None
58,59,GTCBSASZ,None
59,60,GEREG,None
60,61,GTMETSTA,None
61,62,PXHRRSN3,9
62,63,PESPOUSE,None
63,64,PEHRUSL1,3
64,65,PXHRRSN1,None
65,66,HRHTYPE,None
66,67,PXHGCOMP,None
67,68,PRFAMTYP,None
68,69,HXTELHHD,None
69,70,HRMIS,None
70,71,PUIO1MFG,None
71,72,HURESPLI,None
72,73,PEAFEVER,None
73,74,PRERELG,None
74,75,PXHSPNON,None
75,76,PXDISOUT,None
76,77,GTCBSAST,None
77,78,PRAGNA,None
78,79,HUPRSCNT,None
79,80,GTINDVPC,None
80,81,PXIO1COW,None
81,82,PRDISFLG,None
82,83,PXHRUSL2,12
83,84,HEPHONEO,None
84,85,PEDISEAR,None
85,86,PXMOMTYP,None
86,87,PRNMCHLD,None
87,88,HXTENURE,None
88,89,PRFTLF,8
89,90,PXIO1OCD,None
90,91,PEDISPHY,None
91,92,PEDISOUT,None
92,93,PULINENO,None
93,94,PUHROFF1,None
94,95,PEDISREM,None
95,96,PUHRCK1,7
96,97,HRLONGLK,None
97,98,HUINTTYP,None
98,99,PXHRWANT,None
99,100,HETELHHD,None
100,101,HXHOUSUT,None
101,102,PXHRRSN2,None
102,103,PUCHINHH,None
103,104,PRWKSTAT,None
104,105,PXRACE1,None
105,106,PXAFWHN1,None
106,107,HRHHID2,None
107,108,PXEDUCA,None
108,109,PXDISEAR,None
109,110,PXDISDRS,None
110,111,PUHROT1,None
111,112,PRFAMREL,None
112,113,PUHRCK7,9
113,114,HUBUS,None
114,115,PESEX,None
115,116,PUIOCK1,None
116,117,PXHRAVL,None
117,118,HXTELAVL,None
118,119,PRMARSTA,None
119,120,PXDISEYE,None
120,121,PRSJMJ,7
121,122,PUHRCK3,8
122,123,PUHRCK5,7
123,124,HUFINAL,None
124,125,HUSPNISH,None
125,126,PEDISDRS,None
126,127,PEDISEYE,None
127,128,PEMARITL,None
128,129,PEMJOT,7
129,130,PEMLR,None
130,131,PRCIVLF,None
131,132,PREMPNOT,None
132,133,PREXPLF,None
133,134,PRIOELG,None
134,135,PRTFAGE,None
135,136,PRWKSCH,None
136,137,PTHR,None
137,138,PTOT,None
138,139,PTWK,None
139,140,PUHRCK12,None
140,141,PUHRCK2,None
141,142,PUHRCK6,None
142,143,PUWK,10
143,144,PXABSPDO,None
144,145,PXABSRSN,None
145,146,PXAFEVER,None
146,147,PXAFNOW,None
147,148,PXCOHAB,None
148,149,PXDISPHY,None
149,150,PXDISREM,None
150,151,PXHRACT1,11
151,152,PXHRACTT,11
152,153,PXHRFTPT,None
153,154,PXHRUSL1,None
154,155,PXHRUSLT,None
155,156,PXIO1ICD,None
156,157,PXMARITL,None
157,158,PXMJNUM,12
158,159,PXMJOT,10
159,160,PXMLR,None
160,161,PXPARENT,None
161,162,PXRRP,None
162,163,PXSEX,None
163,164,PXSPOUSE,None
